SKU,ASIN,Brand,Model,category_l0,category_l1,category_l2,NLC,Qty,Channel,Type,Week,OpenPOUnits,Aged90PlusUnits,UnsellableUnits,SellableCost,SnapshotDate
FBA79996,B0GW8Z556N,Audio Array,AM-C49,Microphone Dynamic,Vocal Microphone,,534.6565721999999,10,1p,,,11,0,0,8312.06,2026-07-01
FBA79826,B0FJ2LQT7K,Audio Array,PB-02 (AI-04 Red + AM-C11 + AA-05),Bundles,PB-02,,5118.2854,15,1p,,,0,15,0,113261.16,2026-07-01
FBA79957,B0G3Q517Y2,Audio Array,AM-W23,Microphone Wireless Lapel,Wireless Lapel Microphone,,1566.15254442,52,1p,,,0,52,1,122593.44,2026-07-01
FBA79708,B0FFB6YJM1,Audio Array,SB-01,Sound Bar,Sound Bar,,708.0,181,1p,,,21,0,17,173612.62,2026-07-01
FBA79981,B0GN8MFDGZ,Audio Array,AK-61 Neo,Electric Keyboard,61 Key Electronic Keyboard With LED DIsplay,,2870.1202068,20,1p,,,1,0,2,69906.72,2026-07-01
FBA79983,B0GN321RXQ,Audio Array,AM-W48 / AM-S6,Party Speaker,"Dual 12"" 160W Bluetooth Party Speaker",,13607.288,0,1p,,,0,0,0,,2026-07-01
FBA79105,B0CM6WH4ZT,Audio Array,AI-12,Audio Interface,Audio Interface,,678.1010183999999,94,1p,,,19,68,10,87951.76,2026-07-01
FBA79909,B0FVM17Q4W,Audio Array,AM-W20,Microphone Wireless Lapel,Wireless Lapel Microphone,,2164.7070972,0,1p,,,35,0,0,,2026-07-01
FBA79824,B0FJ2K95XT,Audio Array,GB-01 (AM-C43 +AI-10),Bundles,GB-01,,2585.9936,10,1p,,,2,0,0,41945.51,2026-07-01
FBA78976,B0CF5SHL15,Audio Array,AA-22,Monitor Speakers Accessories,Monitor Speaker Stand Pair,,1722.8355578250003,29,1p,,,4,3,4,72928.06,2026-07-01
FBA79822,B0FJ2J6MTF,Audio Array,KB-01 (AM-W32 + AI-12),Bundles,KB-01,,2630.5268,10,1p,,,15,1,0,39638.08,2026-07-01
FBA78424,B0C55MY66L,Audio Array,AM-C37,Microphone Dynamic,USB/XLR Dynamic Mic,,3103.4267978815587,0,1p,,,0,0,1,0.0,2026-07-01
FBA79969,B0G3B677Z5,Audio Array,UB-03 (AM-S1 + AA-22),Bundles,UB-03,,5619.632,20,1p,,,8,0,1,181779.96,2026-07-01
